Resume,Score
resume_1.txt,75
resume_1.txt,75
resume_25.txt,70
resume_3.txt,70
resume_25.txt,70
resume_3.txt,70
resume_10.txt,68
resume_10.txt,68
resume_8.txt,58
resume_8.txt,58
resume_5.txt,56
resume_5.txt,56
resume_20.txt,54
resume_17.txt,54
resume_20.txt,54
resume_17.txt,54
resume_6.txt,43
resume_6.txt,43
resume_16.txt,41
resume_14.txt,41
resume_16.txt,41
resume_14.txt,41
resume_4.txt,38
resume_4.txt,38
resume.txt,37
resume.txt,37
resume_12.txt,36
resume_12.txt,36
resume_2.txt,36
resume_2.txt,36
resume_18.txt,31
resume_13.txt,31
resume_13.txt,31
resume_11.txt,31
resume_18.txt,31
resume_11.txt,31
resume_24.txt,29
resume_22.txt,29
resume_21.txt,29
resume_15.txt,29
resume_21.txt,29
resume_22.txt,29
resume_15.txt,29
resume_24.txt,29
resume_19.txt,24
resume_19.txt,24
resume_23.txt,21
resume_9.txt,21
resume_23.txt,21
resume_9.txt,21
resume_7.txt,19
resume_7.txt,19
